,Batch_number,Feature
0,28,cyl_main
1,31,cyl_main
2,32,cyl_main
3,34,cyl_main
4,40,cyl_main
5,41,cyl_main
6,43,cyl_main
7,44,cyl_main
8,46,cyl_main
9,47,cyl_main
10,48,cyl_main
11,49,cyl_main
12,50,cyl_main
13,51,cyl_main
14,53,cyl_main
15,55,cyl_main
16,125,cyl_main
17,126,cyl_main
18,127,cyl_main
19,130,cyl_main
20,131,cyl_main
21,132,cyl_main
22,133,cyl_main
23,264,cyl_main
24,265,cyl_main
25,266,cyl_main
26,269,cyl_main
27,270,cyl_main
28,271,cyl_main
29,274,cyl_main
30,275,cyl_main
31,276,cyl_main
32,284,cyl_main
33,286,cyl_main
34,287,cyl_main
35,289,cyl_main
36,291,cyl_main
37,292,cyl_main
38,293,cyl_main
39,297,cyl_main
40,298,cyl_main
41,306,cyl_main
42,313,cyl_main
43,315,cyl_main
44,446,cyl_main
45,447,cyl_main
46,453,cyl_main
47,67,cyl_main
48,68,cyl_main
49,151,cyl_main
50,185,cyl_main
51,186,cyl_main
52,345,cyl_main
53,358,cyl_main
54,360,cyl_main
55,361,cyl_main
56,363,cyl_main
57,472,cyl_main
58,83,cyl_main
59,85,cyl_main
60,87,cyl_main
61,261,cyl_main
62,432,cyl_main
63,62,cyl_main
64,63,cyl_main
65,143,cyl_main
66,180,cyl_main
67,181,cyl_main
68,183,cyl_main
69,357,cyl_main
70,259,cyl_main
71,334,cyl_main
72,355,cyl_main
73,457,cyl_main
74,458,cyl_main
75,459,cyl_main
76,26,ejection
77,28,ejection
78,29,ejection
79,30,ejection
80,32,ejection
81,33,ejection
82,34,ejection
83,35,ejection
84,36,ejection
85,41,ejection
86,43,ejection
87,44,ejection
88,45,ejection
89,48,ejection
90,49,ejection
91,51,ejection
92,54,ejection
93,55,ejection
94,128,ejection
95,130,ejection
96,132,ejection
97,133,ejection
98,262,ejection
99,263,ejection
100,265,ejection
101,266,ejection
102,268,ejection
103,269,ejection
104,270,ejection
105,271,ejection
106,272,ejection
107,273,ejection
108,275,ejection
109,284,ejection
110,285,ejection
111,287,ejection
112,293,ejection
113,294,ejection
114,295,ejection
115,296,ejection
116,297,ejection
